episode,seed,mode,steps,total_reward,mean_reward,max_reward,ev_arrived,ev_travel_time,ev_waiting_time,final_ev_progress,final_total_queue,final_max_queue,phase_changes
1,42,heuristic,31,16.447,0.530548,0.947,1,154.0,0.0,1.0,13.52,8.01,31
2,43,heuristic,34,15.607,0.459029,0.957,1,167.0,7.0,1.0,10.84,6.35,25
3,44,heuristic,28,13.501,0.482179,0.948,1,137.0,0.0,1.0,15.84,8.21,18
4,45,heuristic,29,15.937,0.549552,0.952,1,142.0,0.0,1.0,16.67,8.36,27
5,46,heuristic,27,14.925,0.552778,0.949,1,135.0,0.0,1.0,13.11,7.17,21
6,47,heuristic,28,16.497,0.589179,0.966,1,136.0,0.0,1.0,12.29,6.92,21
7,48,heuristic,30,15.01,0.500333,0.964,1,146.0,0.0,1.0,9.38,5.6,19
8,49,heuristic,35,16.636,0.475314,0.962,1,172.0,0.0,1.0,11.98,6.49,26
9,50,heuristic,30,17.256,0.5752,0.969,1,150.0,0.0,1.0,13.89,8.12,26
10,51,heuristic,30,16.895,0.563167,0.969,1,146.0,10.0,1.0,15.92,8.13,25
11,52,heuristic,29,16.045,0.553276,0.956,1,143.0,0.0,1.0,13.2,7.6,31
12,53,heuristic,30,17.121,0.5707,0.967,1,148.0,4.0,1.0,12.62,6.34,28
13,54,heuristic,31,16.997,0.54829,0.961,1,153.0,3.0,1.0,11.92,7.87,33
14,55,heuristic,33,16.717,0.506576,0.944,1,162.0,0.0,1.0,12.85,7.2,34
15,56,heuristic,32,16.384,0.512,0.943,1,159.0,2.0,1.0,13.38,8.11,32
16,57,heuristic,32,16.23,0.507188,0.941,1,158.0,0.0,1.0,13.85,7.44,31
17,58,heuristic,30,16.418,0.547267,0.951,1,148.0,0.0,1.0,15.73,8.05,20
18,59,heuristic,34,17.146,0.504294,0.946,1,168.0,0.0,1.0,15.91,8.35,34
19,60,heuristic,32,17.347,0.542094,0.96,1,157.0,0.0,1.0,14.49,8.41,28
20,61,heuristic,30,15.773,0.525767,0.946,1,150.0,0.0,1.0,10.73,7.22,28
21,62,heuristic,31,16.294,0.525613,0.944,1,155.0,0.0,1.0,10.65,5.98,29
22,63,heuristic,24,13.658,0.569083,0.942,1,119.0,0.0,1.0,14.23,7.49,24
23,64,heuristic,33,18.555,0.562273,0.964,1,163.0,2.0,1.0,7.78,3.92,33
24,65,heuristic,32,17.578,0.549312,0.963,1,159.0,3.0,1.0,15.78,7.92,29
25,66,heuristic,32,16.356,0.511125,0.943,1,160.0,3.0,1.0,10.15,5.22,30
26,67,heuristic,29,13.212,0.455586,0.943,1,143.0,1.0,1.0,13.87,7.57,19
27,68,heuristic,35,16.033,0.458086,0.951,1,171.0,0.0,1.0,9.25,4.72,30
28,69,heuristic,34,16.16,0.475294,0.961,1,167.0,0.0,1.0,10.41,5.38,25
29,70,heuristic,29,15.991,0.551414,0.952,1,142.0,0.0,1.0,10.03,6.42,27
30,71,heuristic,33,14.672,0.444606,0.947,1,161.0,1.0,1.0,15.05,7.61,34
31,72,heuristic,27,14.734,0.545704,0.947,1,134.0,3.0,1.0,10.38,6.53,26
32,73,heuristic,28,15.277,0.545607,0.951,1,140.0,6.0,1.0,10.93,6.39,20
33,74,heuristic,35,18.431,0.5266,0.953,1,173.0,0.0,1.0,14.79,7.53,32
34,75,heuristic,30,16.199,0.539967,0.949,1,147.0,0.0,1.0,14.02,8.05,29
35,76,heuristic,35,16.007,0.457343,0.955,1,173.0,0.0,1.0,12.45,8.06,26
36,77,heuristic,27,12.364,0.457926,0.938,1,134.0,3.0,1.0,12.67,7.38,18
37,78,heuristic,27,15.091,0.558926,0.95,1,133.0,4.0,1.0,11.85,7.74,21
38,79,heuristic,32,17.167,0.536469,0.956,1,156.0,3.0,1.0,11.39,5.75,32
39,80,heuristic,30,17.122,0.570733,0.969,1,149.0,1.0,1.0,14.7,8.13,31
40,81,heuristic,41,19.195,0.468171,0.953,1,203.0,16.0,1.0,13.28,6.77,41
41,82,heuristic,29,13.894,0.479103,0.953,1,145.0,0.0,1.0,10.06,6.43,19
42,83,heuristic,36,19.743,0.548417,0.967,1,177.0,0.0,1.0,13.32,7.38,33
43,84,heuristic,34,18.912,0.556235,0.972,1,166.0,5.0,1.0,14.88,7.59,31
44,85,heuristic,32,14.351,0.448469,0.954,1,159.0,11.0,1.0,10.88,6.87,30
45,86,heuristic,30,17.074,0.569133,0.961,1,146.0,3.0,1.0,9.67,5.06,26
46,87,heuristic,30,16.224,0.5408,0.953,1,149.0,0.0,1.0,10.73,6.91,28
47,88,heuristic,28,14.705,0.525179,0.94,1,138.0,6.0,1.0,12.44,8.28,23
48,89,heuristic,29,14.309,0.493414,0.959,1,144.0,0.0,1.0,9.21,5.59,18
49,90,heuristic,33,16.55,0.501515,0.943,1,165.0,5.0,1.0,12.89,7.96,32
50,91,heuristic,39,19.799,0.507667,0.959,1,194.0,9.0,1.0,11.65,5.96,32
