episode,seed,mode,step,reward,cumulative_reward,ev_progress,ev_waiting_time,ev_travel_time,total_queue,max_queue,phase_changes,done
1,42,heuristic,1,0.509,0.509,0.0264,0.0,5.0,0.0,0.0,0,0
1,42,heuristic,2,0.572,1.081,0.0663,0.0,10.0,0.0,0.0,1,0
1,42,heuristic,3,0.551,1.632,0.1063,0.0,15.0,8.01,8.01,1,0
1,42,heuristic,4,0.433,2.065,0.1263,0.0,20.0,13.52,8.01,1,0
1,42,heuristic,5,0.5,2.565,0.1558,0.0,25.0,13.52,8.01,1,0
1,42,heuristic,6,0.507,3.072,0.1887,0.0,30.0,13.52,8.01,2,0
1,42,heuristic,7,0.519,3.591,0.2216,0.0,35.0,13.52,8.01,2,0
1,42,heuristic,8,0.334,3.925,0.1745,0.0,40.0,13.52,8.01,2,0
1,42,heuristic,9,0.784,4.709,0.268,0.0,45.0,13.52,8.01,2,0
1,42,heuristic,10,0.44,5.149,0.307,0.0,50.0,13.52,8.01,11,0
1,42,heuristic,11,0.538,5.687,0.3454,0.0,55.0,13.52,8.01,12,0
1,42,heuristic,12,0.334,6.021,0.2648,0.0,60.0,13.52,8.01,12,0
1,42,heuristic,13,0.784,6.805,0.3924,0.0,65.0,13.52,8.01,12,0
1,42,heuristic,14,0.482,7.287,0.4255,0.0,70.0,13.52,8.01,15,0
1,42,heuristic,15,0.508,7.795,0.4587,0.0,75.0,13.52,8.01,16,0
1,42,heuristic,16,0.52,8.315,0.4917,0.0,80.0,13.52,8.01,16,0
1,42,heuristic,17,0.467,8.782,0.5154,0.0,85.0,13.52,8.01,16,0
1,42,heuristic,18,0.508,9.29,0.5485,0.0,90.0,13.52,8.01,17,0
1,42,heuristic,19,0.471,9.761,0.5817,0.0,95.0,13.52,8.01,21,0
1,42,heuristic,20,0.521,10.282,0.615,0.0,100.0,13.52,8.01,21,0
1,42,heuristic,21,0.387,10.669,0.6267,0.0,105.0,13.52,8.01,22,0
1,42,heuristic,22,0.514,11.183,0.6609,0.0,110.0,13.52,8.01,23,0
1,42,heuristic,23,0.513,11.696,0.7017,0.0,115.0,13.52,8.01,27,0
1,42,heuristic,24,0.562,12.258,0.7422,0.0,120.0,13.52,8.01,27,0
1,42,heuristic,25,0.516,12.774,0.7769,0.0,125.0,13.52,8.01,28,0
1,42,heuristic,26,0.55,13.324,0.8176,0.0,130.0,13.52,8.01,29,0
1,42,heuristic,27,0.551,13.875,0.8584,0.0,135.0,13.52,8.01,30,0
1,42,heuristic,28,0.512,14.387,0.8924,0.0,140.0,13.52,8.01,31,0
1,42,heuristic,29,0.556,14.943,0.932,0.0,145.0,13.52,8.01,31,0
1,42,heuristic,30,0.557,15.5,0.9716,0.0,150.0,13.52,8.01,31,0
1,42,heuristic,31,0.947,16.447,1.0,0.0,154.0,13.52,8.01,31,1
2,43,heuristic,1,0.519,0.519,0.025,0.0,5.0,0.0,0.0,0,0
2,43,heuristic,2,0.59,1.109,0.0627,0.0,10.0,0.0,0.0,0,0
2,43,heuristic,3,0.482,1.591,0.1001,0.0,15.0,6.35,6.35,0,0
2,43,heuristic,4,0.464,2.055,0.1319,0.0,20.0,6.35,6.35,0,0
2,43,heuristic,5,0.502,2.557,0.1704,0.0,25.0,6.35,6.35,0,0
